981 2445
668 339 356
199 221 140
199 26 647
900 881 322
81 106 493
679 336 562
193 484 607
287 534 298
166 837 872
260 286 347
427 805 772
79 119 468
449 558 829
435 586 274
520 316 932
91 44 52
684 167 865
228 501 210
568 866 526
291 155 295
650 833 444
882 573 228
43 231 108
30 621 847
142 921 498
932 730 18
959 154 632
581 935 907
512 30 789
852 385 69
701 318 507
798 614 522
945 540 310
934 628 106
625 268 392
854 582 510
243 371 317
926 458 281
8 627 593
312 736 414
738 870 86
834 90 201
439 873 981
754 556 270
790 514 677
157 295 320
887 161 464
445 683 269
819 250 358
19 870 681
525 613 420
405 333 477
542 892 315
574 976 810
507 239 316
782 706 344
609 766 938
527 919 480
501 305 846
807 473 309
538 233 458
133 958 607
505 83 339
391 57 443
116 718 710
38 190 901
411 12 921
7 226 53
312 303 55
541 135 704
293 980 308
676 41 664
847 19 290
331 260 79
387 508 949
595 2 869
976 498 703
731 472 898
908 359 211
194 96 378
195 643 980
226 633 74
107 344 522
314 610 475
717 484 675
507 669 436
699 99 549
738 277 843
709 64 731
10 857 32
73 907 445
341 831 760
262 884 267
692 586 784
325 941 9
683 334 977
901 297 332
473 169 385
459 742 581
709 754 594
782 654 309
518 603 531
41 875 440
373 115 565
704 540 494
120 31 938
640 481 152
407 129 508
766 76 798
896 36 113
1 472 956
298 806 743
422 571 443
574 432 82
719 668 114
767 611 109
771 925 740
314 93 701
82 768 145
952 150 783
809 440 576
398 935 812
807 775 934
281 523 238
113 320 806
6 612 855
486 224 346
961 197 569
655 603 554
967 552 261
68 882 985
864 416 817
331 644 669
881 661 870
161 41 755
744 508 786
521 208 440
193 781 493
767 744 71
632 799 247
934 920 47
427 599 392
133 50 56
14 862 424
153 115 850
88 626 723
807 660 399
447 386 419
465 181 129
371 406 277
193 840 106
960 728 775
355 958 74
607 550 649
20 122 819
383 722 233
425 411 83
182 390 341
914 472 8
16 899 830
801 454 101
632 642 822
330 586 887
404 714 977
80 376 757
827 574 302
708 126 806
174 112 684
978 767 153
539 673 630
797 541 217
397 573 211
690 325 26
123 356 752
337 566 902
557 738 947
268 640 367
915 419 10
2 638 726
258 448 125
502 825 76
330 329 858
635 48 260
186 76 934
140 180 115
540 467 192
496 596 606
291 7 559
427 362 986
720 213 595
92 745 114
499 611 69
179 541 384
608 110 972
161 893 917
868 265 101
830 324 979
143 781 709
204 21 625
251 960 498
597 756 218
633 325 947
354 14 71
631 716 693
171 18 195
411 889 645
928 150 540
122 513 498
199 449 48
130 510 973
868 13 321
832 441 763
258 685 409
730 265 188
801 288 605
951 393 429
892 600 815
110 267 322
587 950 598
555 364 827
43 3 575
537 375 842
518 713 999
562 343 946
73 484 443
367 133 431
379 753 126
210 887 519
905 934 73
81 418 819
258 977 430
743 946 603
891 520 620
738 783 163
73 742 316
368 363 589
805 404 175
454 934 159
282 937 988
12 974 799
35 528 293
262 901 930
302 255 708
848 331 29
940 206 545
886 702 184
22 160 558
807 332 846
769 540 181
882 132 175
971 205 427
805 965 3
156 579 647
778 313 221
646 961 283
963 951 426
931 601 225
913 496 1000
97 456 338
246 152 51
5 820 812
141 95 525
955 917 242
223 797 7
125 973 278
321 757 408
652 110 668
402 856 183
929 550 517
959 228 464
735 179 567
162 750 789
858 319 965
576 559 284
562 11 362
699 254 969
980 108 625
631 257 450
783 24 544
746 980 412
490 366 675
973 26 911
9 99 831
229 245 671
404 717 224
662 565 972
76 965 79
884 90 823
497 141 65
208 169 727
353 968 380
362 29 393
618 462 563
303 629 83
660 653 795
265 309 655
429 493 48
8 17 730
217 189 516
197 842 652
396 135 975
161 532 712
472 706 249
968 499 217
245 953 184
212 540 715
188 954 346
563 385 313
585 26 401
449 289 558
765 301 639
268 426 672
600 876 506
417 160 455
834 783 571
961 386 30
176 344 364
865 518 362
350 703 519
488 380 978
83 195 838
82 275 481
980 310 277
114 22 540
243 203 6
342 623 417
682 634 44
270 473 636
635 32 67
380 937 475
636 24 709
459 820 264
975 174 131
806 501 256
224 491 251
691 68 386
784 387 632
895 903 507
772 49 858
965 219 112
365 233 853
962 819 473
482 634 751
450 421 57
900 798 657
826 84 978
954 719 462
305 945 381
284 211 313
548 350 28
859 843 143
799 110 844
176 150 420
185 491 519
942 917 266
187 242 944
481 170 609
887 829 585
42 333 359
857 128 965
484 919 718
272 318 550
209 157 52
740 898 568
497 526 687
245 102 69
45 15 678
728 558 250
3 119 43
784 187 227
469 93 801
85 739 446
845 365 933
665 47 448
565 241 87
803 724 84
200 120 35
418 258 825
419 662 783
496 282 609
506 649 210
633 153 534
481 219 676
82 133 952
320 582 979
57 107 902
764 623 728
577 613 860
229 37 327
593 23 435
174 780 617
534 601 288
628 711 437
341 493 821
337 719 725
455 100 364
700 321 849
534 142 705
347 206 417
544 48 141
772 243 599
746 247 8
139 245 899
318 625 582
525 78 354
913 383 298
821 321 694
64 291 39
613 958 143
590 829 256
296 875 571
51 658 259
355 658 938
575 708 75
718 687 119
828 76 144
407 307 467
892 943 94
536 706 427
93 425 728
205 185 706
268 732 737
889 865 493
765 924 689
892 900 367
815 334 821
888 683 199
377 216 595
248 184 608
336 295 496
443 475 424
334 353 370
909 437 348
300 666 176
836 211 276
174 408 438
540 941 285
284 789 283
891 2 467
728 539 234
798 920 414
283 11 436
558 121 409
152 442 369
412 951 402
275 558 842
823 363 62
460 943 544
92 679 67
968 66 518
350 572 766
639 38 185
184 764 802
802 825 209
135 66 875
266 876 213
416 187 109
35 178 116
17 234 904
636 446 533
633 810 979
149 358 530
229 456 247
515 603 465
164 531 187
309 505 634
84 437 284
349 150 521
410 65 508
719 365 522
326 394 298
676 861 666
260 257 643
717 957 815
285 519 411
835 295 767
747 110 878
271 445 764
701 601 460
45 702 679
460 508 617
775 858 221
819 709 653
465 96 95
329 216 758
141 45 866
203 179 99
832 556 549
774 710 827
627 853 394
930 874 196
369 933 227
549 980 494
848 533 612
5 519 516
314 823 413
653 183 213
412 63 667
443 196 315
314 794 7
899 365 40
467 194 927
913 340 827
413 908 829
334 700 939
228 972 175
884 231 176
